participant	tier	group	is_coassembly	redundant_count	total_count	redundant_pct	redundant_bp	total_bp	redundant_bp_pct
p584	orfs	spaS265	False	28782	29822	96.5	8095253	8249942	98.1
p584	orfs	spaS266	False	132531	158786	83.5	39451761	45759383	86.2
p584	orfs	spaS275	False	133684	137111	97.5	38479116	38968582	98.7
p584	orfs	spaS276	False	131771	133888	98.4	38715451	38973689	99.3
p584	orfs	spaS277	False	153123	156425	97.9	45165501	45578319	99.1
p601	orfs	mh_p601	True	333429	388945	85.7	100538728	112226880	89.6
p601	orfs	spaS108	False	101522	104734	96.9	29828071	30287504	98.5
p601	orfs	spaS116	False	86726	88436	98.1	24754996	24957659	99.2
p601	orfs	spaS124	False	123370	125307	98.5	36431444	36655115	99.4
p601	orfs	spaS131	False	86665	88285	98.2	25057432	25254367	99.2
p601	orfs	spaS140	False	121357	125719	96.5	33997318	34656272	98.1
p601	orfs	spaS144	False	107606	109957	97.9	30571031	30863504	99.1
p601	orfs	spaS159	False	110757	114247	96.9	32775623	33352605	98.3
p601	orfs	spaS161	False	134332	137330	97.8	38968846	39333885	99.1
p601	orfs	spaS164	False	120377	122498	98.3	36163137	36422300	99.3
p601	orfs	spaS168	False	153363	155760	98.5	46042334	46311238	99.4
p601	orfs	spaS178	False	142914	145892	98.0	42145047	42501347	99.2
p601	orfs	spaS219	False	110513	117834	93.8	32846069	34011013	96.6
p601	orfs	spaS6	False	118817	120942	98.2	34121744	34329560	99.4
p644	orfs	mh_p644	True	261348	300940	86.8	79719711	87836284	90.8
p644	orfs	spaS101	False	57139	58658	97.4	16707484	16927789	98.7
p644	orfs	spaS105	False	83607	85612	97.7	22568029	22776116	99.1
p644	orfs	spaS112	False	65086	66088	98.5	18783814	18898606	99.4
p644	orfs	spaS145	False	123824	128902	96.1	35737258	36648000	97.5
p644	orfs	spaS152	False	118686	120688	98.3	35175195	35403253	99.4
p644	orfs	spaS173	False	155434	162319	95.8	45342109	46380953	97.8
p644	orfs	spaS179	False	129286	138748	93.2	37384321	39350310	95.0
p644	orfs	spaS182	False	110854	112828	98.3	33127346	33347036	99.3
p644	orfs	spaS246	False	61364	62346	98.4	17214165	17320330	99.4
p644	orfs	spaS80	False	95257	101437	93.9	26883803	28225669	95.2
p644	orfs	spaS84	False	77806	79059	98.4	22064573	22200030	99.4
p644	orfs	spaS86	False	70000	73023	95.9	19722878	20238604	97.5
p644	orfs	spaS87	False	70426	72089	97.7	19605850	19843929	98.8
p644	orfs	spaS94	False	111234	112904	98.5	32723038	32925353	99.4
p654	orfs	spaS278	False	110033	120891	91.0	33166338	35665605	93.0
p654	orfs	spaS279	False	104302	117604	88.7	30597853	33940562	90.2
p654	orfs	spaS280	False	105015	116546	90.1	31369052	33864751	92.6
p654	orfs	spaS281	False	110053	116650	94.3	31916628	33218080	96.1
p654	orfs	spaS283	False	96304	99401	96.9	27460806	27937157	98.3
p654	orfs	spaS284	False	124048	143400	86.5	37368528	42073950	88.8
p654	orfs	spaS285	False	98510	127765	77.1	27994294	36255443	77.2
p722	orfs	mh_p722	True	336601	368056	91.5	99597140	105181457	94.7
p722	orfs	spaS132	False	91402	95423	95.8	27422884	28144648	97.4
p722	orfs	spaS136	False	82094	83729	98.0	24137059	24336667	99.2
p722	orfs	spaS147	False	89370	91409	97.8	26430314	26696641	99.0
p722	orfs	spaS192	False	132330	137547	96.2	39008049	39724814	98.2
p722	orfs	spaS240	False	111815	121851	91.8	32088951	33662485	95.3
p722	orfs	spaS241	False	87464	89139	98.1	25961720	26172262	99.2
p722	orfs	spaS85	False	120823	127230	95.0	36584370	37579767	97.4
p722	orfs	spaS92	False	69840	72362	96.5	20460530	20852209	98.1
p728	orfs	mh_p728	True	286567	303608	94.4	84961084	87828059	96.7
p728	orfs	spaS111	False	69895	70990	98.5	20862663	20994021	99.4
p728	orfs	spaS117	False	75037	76124	98.6	22625463	22767729	99.4
p728	orfs	spaS121	False	93156	94344	98.7	28096672	28238984	99.5
p728	orfs	spaS128	False	61696	62663	98.5	17438112	17544641	99.4
p728	orfs	spaS137	False	89834	92019	97.6	26449193	26764292	98.8
p728	orfs	spaS146	False	123572	125011	98.8	37184301	37347186	99.6
p728	orfs	spaS160	False	104890	106515	98.5	31540827	31737503	99.4
p728	orfs	spaS162	False	75196	76317	98.5	23230242	23372445	99.4
p728	orfs	spaS165	False	85499	88974	96.1	25230368	25796075	97.8
p728	orfs	spaS187	False	98460	100704	97.8	29495087	29790334	99.0
p728	orfs	spaS193	False	103721	107867	96.2	30953056	31511690	98.2
p728	orfs	spaS196	False	124547	140446	88.7	36339271	39413795	92.2
p728	orfs	spaS198	False	97662	101387	96.3	29624065	30156129	98.2
p729	orfs	spaS106	False	36943	40500	91.2	10807331	11509131	93.9
p729	orfs	spaS122	False	111624	124597	89.6	34190334	37258084	91.8
p729	orfs	spaS129	False	53395	56039	95.3	15268918	15697381	97.3
p729	orfs	spaS133	False	91157	95012	95.9	27238691	27951368	97.5
p729	orfs	spaS138	False	109878	118861	92.4	32557896	34342594	94.8
p729	orfs	spaS148	False	109008	122921	88.7	31831831	35203452	90.4
p729	orfs	spaS180	False	129321	134712	96.0	38365267	39267773	97.7
p729	orfs	spaS183	False	130407	145630	89.5	39395540	42516259	92.7
p729	orfs	spaS216	False	160451	190626	84.2	46683614	53181324	87.8
p729	orfs	spaS221	False	162642	199220	81.6	47871380	55521344	86.2
p729	orfs	spaS247	False	20897	24243	86.2	6021893	6695019	89.9
p789	orfs	mh_p789	True	580793	667264	87.0	173882521	191000828	91.0
p789	orfs	spaS286	False	270987	278479	97.3	82623698	83575783	98.9
p789	orfs	spaS287	False	289138	296257	97.6	84120846	84964409	99.0
p789	orfs	spaS294	False	307817	320946	95.9	90503493	92972338	97.3
p789	orfs	spaS295	False	339055	346293	97.9	98316700	99179794	99.1
p789	orfs	spaS296	False	346276	373652	92.7	101499235	106617009	95.2
p789	orfs	spaS297	False	341083	349344	97.6	99315988	100335418	99.0
p789	orfs	spaS300	False	209060	219490	95.2	58841054	60367648	97.5
p813	orfs	mh_p813	True	597431	695499	85.9	174692630	194982963	89.6
p813	orfs	spaS11	False	57656	60385	95.5	16025522	16515605	97.0
p813	orfs	spaS113	False	199712	204145	97.8	57460088	57997069	99.1
p813	orfs	spaS134	False	127933	131011	97.7	35599664	35989199	98.9
p813	orfs	spaS153	False	175293	179048	97.9	50242981	50745434	99.0
p813	orfs	spaS169	False	224303	229993	97.5	62918651	63630051	98.9
p813	orfs	spaS174	False	205091	209938	97.7	57916463	58504684	99.0
p813	orfs	spaS18	False	125809	128555	97.9	36922943	37259042	99.1
p813	orfs	spaS188	False	193932	199010	97.4	54395100	55040177	98.8
p813	orfs	spaS194	False	254607	263799	96.5	73320100	74605049	98.3
p813	orfs	spaS224	False	74582	76013	98.1	22167907	22341467	99.2
p813	orfs	spaS227	False	78999	81706	96.7	23332546	23752944	98.2
p813	orfs	spaS235	False	70305	72247	97.3	20192741	20444300	98.8
p813	orfs	spaS24	False	102934	105176	97.9	29689807	29979723	99.0
p813	orfs	spaS248	False	146664	148812	98.6	42478294	42725072	99.4
p813	orfs	spaS249	False	134875	139294	96.8	37867020	38552602	98.2
p813	orfs	spaS27	False	102052	103355	98.7	30056387	30197558	99.5
p813	orfs	spaS34	False	146317	149195	98.1	43161470	43547117	99.1
p813	orfs	spaS4	False	97187	98694	98.5	27864733	28040915	99.4
p813	orfs	spaS42	False	125880	127777	98.5	36643977	36852136	99.4
p813	orfs	spaS48	False	154866	156694	98.8	46289279	46507516	99.5
p813	orfs	spaS54	False	118281	120159	98.4	34029982	34267946	99.3
p813	orfs	spaS57	False	91800	93180	98.5	27105091	27293451	99.3
p813	orfs	spaS59	False	157075	162755	96.5	45109714	46154169	97.7
p813	orfs	spaS61	False	182675	184954	98.8	53231730	53479604	99.5
p813	orfs	spaS63	False	121721	123441	98.6	35629694	35853546	99.4
p813	orfs	spaS68	False	164123	165929	98.9	49607121	49819524	99.6
p813	orfs	spaS69	False	167658	171643	97.7	49107903	49888212	98.4
p813	orfs	spaS71	False	177906	181117	98.2	50703454	51100509	99.2
p813	orfs	spaS72	False	125139	128196	97.6	36197819	36687706	98.7
p813	orfs	spaS73	False	193292	195879	98.7	57039295	57337675	99.5
p813	orfs	spaS75	False	101011	102352	98.7	29373768	29534442	99.5
p813	orfs	spaS79	False	180206	182862	98.5	52212470	52506216	99.4
p813	orfs	spaS88	False	204093	208736	97.8	59197149	59846229	98.9
p813	orfs	spaS89	False	212401	215715	98.5	62383792	62766339	99.4
p813	orfs	spaS9	False	69292	70836	97.8	20046592	20244077	99.0
p860	orfs	mh_p860	True	304565	340496	89.4	91798805	98575986	93.1
p860	orfs	spaS163	False	90801	92735	97.9	26858908	27100213	99.1
p860	orfs	spaS166	False	92620	94567	97.9	27547299	27765736	99.2
p860	orfs	spaS170	False	98590	107382	91.8	30239494	32072309	94.3
p860	orfs	spaS175	False	95896	97303	98.6	28902740	29068598	99.4
p860	orfs	spaS195	False	80787	83305	97.0	23238875	23589911	98.5
p860	orfs	spaS199	False	153842	159876	96.2	46646700	47648087	97.9
p860	orfs	spaS201	False	159643	162513	98.2	48274166	48585707	99.4
p860	orfs	spaS206	False	166815	170583	97.8	49191657	49652504	99.1
p860	orfs	spaS213	False	140762	144032	97.7	42266546	42659368	99.1
p860	orfs	spaS217	False	124331	135707	91.6	36903353	39289896	93.9
p860	orfs	spaS220	False	149453	153430	97.4	45087749	45656950	98.8
p894	orfs	mh_p894	True	283818	326022	87.1	85458142	93655769	91.2
p894	orfs	spaS139	False	140129	146859	95.4	39276179	40223092	97.6
p894	orfs	spaS157	False	102620	105562	97.2	29666111	30042713	98.7
p894	orfs	spaS176	False	119969	123837	96.9	34651795	35165223	98.5
p894	orfs	spaS197	False	125688	130842	96.1	36535737	37239872	98.1
p894	orfs	spaS95	False	87400	92063	94.9	25902612	26590584	97.4
p97	orfs	mh_p97	True	231321	256700	90.1	70812252	75628566	93.6
p97	orfs	spaS25	False	110866	114905	96.5	33638164	34319371	98.0
p97	orfs	spaS250	False	136357	139598	97.7	42030446	42556439	98.8
p97	orfs	spaS251	False	159908	162780	98.2	48145403	48479010	99.3
p97	orfs	spaS252	False	151480	154031	98.3	45747199	46051849	99.3
p97	orfs	spaS253	False	138603	140419	98.7	42142194	42343830	99.5
p97	orfs	spaS29	False	131429	133750	98.3	39233792	39498843	99.3
p97	orfs	spaS35	False	109610	111635	98.2	32199004	32427192	99.3
p97	orfs	spaS43	False	71387	72479	98.5	20675457	20806460	99.4
