amr_gene	aro_call	group	participant	is_coassembly	date
spaS135___130202	vanG	spaS253	p97	False	2022-07-21
spaS135___130202	vanG	spaS196	p728	False	2024-07-16
spaS135___130202	vanG	spaS37	p110	False	2022-12-06
spaS135___130202	vanG	spaS35	p97	False	2022-11-29
spaS135___130202	vanG	spaS123	p431	False	2023-12-19
spaS135___130202	vanG	spaS187	p728	False	2024-06-11
spaS135___130202	vanG	spaS18	p813	False	2022-10-18
spaS135___130202	vanG	mh_p408	p408	True	
spaS135___130202	vanG	spaS132	p722	False	2024-01-23
spaS135___130202	vanG	spaS266	p584	False	2024-12-03
spaS135___130202	vanG	spaS152	p644	False	2024-03-12
spaS135___130202	vanG	spaS210	p431	False	2024-11-05
spaS135___130202	vanG	spaS6	p601	False	2024-02-06
spaS135___130202	vanG	spaS29	p97	False	2022-11-22
spaS135___130202	vanG	spaS166	p860	False	2024-04-23
spaS135___130202	vanG	spaS254	p550	False	2022-08-23
spaS135___130202	vanG	spaS191	p398	False	2024-07-02
spaS135___130202	vanG	spaS241	p722	False	2024-01-09
spaS135___130202	vanG	spaS200	p398	False	2024-08-27
spaS135___130202	vanG	mh_p894	p894	True	
spaS135___130202	vanG	spaS280	p654	False	2025-03-04
spaS135___130202	vanG	mh_p813	p813	True	
spaS135___130202	vanG	spaS160	p728	False	2024-03-26
spaS135___130202	vanG	spaS274	p341	False	2025-03-18
spaS135___130202	vanG	spaS182	p644	False	2024-05-28
spaS135___130202	vanG	spaS164	p601	False	2024-04-23
spaS135___130202	vanG	mh_p292	p292	True	
spaS135___130202	vanG	mh_p728	p728	True	
spaS135___130202	vanG	spaS141	p408	False	2024-02-27
spaS135___130202	vanG	mh_p470	p470	True	
spaS135___130202	vanG	mh_p860	p860	True	
spaS135___130202	vanG	mh_p110	p110	True	
spaS135___130202	vanG	spaS268	p142	False	2025-02-18
spaS135___130202	vanG	mh_p550	p550	True	
spaS135___130202	vanG	spaS230	p470	False	2022-08-16
spaS135___130202	vanG	spaS108	p601	False	2023-11-07
spaS135___130202	vanG	spaS45	p470	False	2022-12-13
spaS135___130202	vanG	spaS275	p584	False	2025-01-14
spaS135___130202	vanG	spaS208	p398	False	2024-10-29
spaS135___130202	vanG	spaS256	p550	False	2022-09-06
spaS135___130202	vanG	spaS179	p644	False	2024-05-21
spaS135___130202	vanG	spaS272	p341	False	2025-02-11
spaS135___130202	vanG	mh_p644	p644	True	
spaS135___130202	vanG	spaS199	p860	False	2024-08-20
spaS135___130202	vanG	spaS277	p584	False	2025-02-18
spaS135___130202	vanG	mh_p523	p523	True	
spaS135___130202	vanG	mh_p97	p97	True	
spaS135___130202	vanG	spaS252	p97	False	2022-09-06
spaS135___130202	vanG	spaS115	p431	False	2023-12-05
spaS135___130202	vanG	spaS234	p470	False	2022-08-23
spaS135___130202	vanG	spaS233	p431	False	2022-08-23
spaS135___130202	vanG	spaS225	p292	False	2022-08-09
spaS135___130202	vanG	spaS138	p729	False	2024-01-30
spaS135___130202	vanG	spaS195	p860	False	2024-07-02
spaS135___130202	vanG	spaS135	p408	False	2024-01-30
spaS135___130202	vanG	spaS281	p654	False	2025-03-25
spaS135___130202	vanG	spaS251	p97	False	2022-08-16
spaS135___130202	vanG	spaS19	p125	False	2022-11-01
spaS135___130202	vanG	spaS258	p142	False	2024-11-05
spaS135___130202	vanG	spaS264	p584	False	2024-11-05
spaS135___130202	vanG	mh_p125	p125	True	
spaS135___130202	vanG	spaS127	p431	False	2024-01-16
spaS135___130202	vanG	spaS81	p431	False	2023-08-22
spaS135___130202	vanG	spaS10	p431	False	2022-09-27
spaS135___130202	vanG	spaS7	p292	False	2022-09-20
spaS135___130202	vanG	spaS285	p654	False	2025-05-27
spaS135___130202	vanG	mh_p398	p398	True	
spaS135___130202	vanG	spaS30	p110	False	2022-11-22
spaS135___130202	vanG	spaS269	p142	False	2025-02-25
spaS135___130202	vanG	mh_p601	p601	True	
spaS135___130202	vanG	spaS124	p601	False	2023-12-19
spaS135___130202	vanG	spaS140	p601	False	2024-02-20
spaS135___130202	vanG	spaS149	p151	False	2024-03-12
spaS135___130202	vanG	spaS226	p431	False	2022-08-09
spaS135___130202	vanG	spaS273	p341	False	2025-03-11
spaS135___130202	vanG	mh_p722	p722	True	
spaS135___130202	vanG	spaS120	p470	False	2023-12-12
spaS135___130202	vanG	spaS183	p729	False	2024-05-28
spaS135___130202	vanG	spaS161	p601	False	2024-04-09
spaS135___130202	vanG	mh_p341	p341	True	
spaS135___130202	vanG	spaS250	p97	False	2022-08-04
spaS135___130202	vanG	spaS121	p728	False	2023-12-12
spaS135___130202	vanG	spaS186	p431	False	2024-06-11
spaS135___130202	vanG	spaS259	p142	False	2024-12-03
spaS135___130202	vanG	spaS85	p722	False	2023-09-05
