dereplicated_mag_id	strand	group	participant	is_coassembly	date	gtdb_taxonomy	phylum
coassembly_15_1	coassembly	mh_p398	p398	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_1	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_2	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_2	coassembly	mh_p470	p470	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_2	coassembly	mh_p584	p584	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_2	coassembly	mh_p601	p601	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_3	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_4	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_15_5	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	Bacillota
coassembly_16_0	coassembly	mh_p722	p722	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella tobetsuensis	Bacillota
coassembly_17_1	coassembly	mh_p722	p722	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	Bacillota
coassembly_17_2	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_D	Bacillota
coassembly_17_3	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_F	Bacillota
coassembly_17_4	coassembly	mh_p470	p470	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_E	Bacillota
coassembly_17_5	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_D	Bacillota
coassembly_17_6	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	Bacillota
coassembly_17_7	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_D	Bacillota
coassembly_17_8	coassembly	mh_p584	p584	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_F	Bacillota
coassembly_18_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp900550175	Bacillota
coassembly_18_2	coassembly	mh_p584	p584	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp900550175	Bacillota
coassembly_19_0	coassembly	mh_p398	p398	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella nakazawae	Bacillota
coassembly_20_0	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp963522475	Bacillota
